Region,Province,City,EMP_w_2024,months_observed_2024,quality_flag,projection_note
NCR,NCR,Caloocan City,468325.5833333333,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
NCR,NCR,City of Manila,854936.0833333334,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
NCR,NCR,Las Pinas City,208612.08333333334,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
NCR,NCR,Makati City,652229.0833333334,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
NCR,NCR,Malabon City,130835.5,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
NCR,NCR,Mandaluyong City,304059.4166666667,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
NCR,NCR,Marikina City,210669.33333333334,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
NCR,NCR,Muntinlupa City,320344.3333333333,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
NCR,NCR,Navotas City,84522.83333333333,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
NCR,NCR,Paranaque City,396355.3333333333,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
NCR,NCR,Pasay City,325218.5,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
NCR,NCR,Pasig City,539566.4166666666,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
NCR,NCR,Quezon City,1825228.8333333333,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
NCR,NCR,San Juan City,67003.66666666667,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
NCR,NCR,Taguig City,653810.3333333334,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
NCR,NCR,Valenzuela City,277294.1666666667,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
Region III (Central Luzon),Bataan,Balanga City,62672.5,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
Region III (Central Luzon),Bulacan,Malolos City,80962.83333333333,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
Region III (Central Luzon),Bulacan,Meycauayan City,91306.75,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
Region III (Central Luzon),Bulacan,San Jose del Monte City,194651.08333333334,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,210001.41666666666,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
Region III (Central Luzon),Nueva Ecija,Gapan City,25060.666666666668,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
Region III (Central Luzon),Nueva Ecija,Palayan City,3407.0,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
Region III (Central Luzon),Nueva Ecija,San Jose City,46542.0,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,123775.16666666667,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
Region III (Central Luzon),Pampanga,Angeles City,354647.25,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
Region III (Central Luzon),Pampanga,Mabalacat City,140358.66666666666,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
Region III (Central Luzon),Pampanga,San Fernando City,215250.08333333334,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
Region III (Central Luzon),Tarlac,Tarlac City,124945.5,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
Region III (Central Luzon),Zambales,Olongapo City,128100.5,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
Region IV-A (CALABARZON),Batangas,Batangas City,109530.41666666667,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
Region IV-A (CALABARZON),Batangas,Lipa City,239549.66666666666,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
Region IV-A (CALABARZON),Batangas,Tanauan City,109435.0,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
Region IV-A (CALABARZON),Cavite,Bacoor City,140140.33333333334,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
Region IV-A (CALABARZON),Cavite,Cavite City,112392.66666666667,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
Region IV-A (CALABARZON),Cavite,City of Carmona,120984.25,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
Region IV-A (CALABARZON),Cavite,Dasmarinas City,218141.83333333334,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
Region IV-A (CALABARZON),Cavite,General Trias City,292939.5,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
Region IV-A (CALABARZON),Cavite,Imus City,139681.16666666666,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
Region IV-A (CALABARZON),Cavite,Tagaytay City,18787.416666666668,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
Region IV-A (CALABARZON),Cavite,Trece Martires City,46115.75,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
Region IV-A (CALABARZON),Laguna,Binan City,200092.33333333334,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
Region IV-A (CALABARZON),Laguna,Cabuyao City,246643.83333333334,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
Region IV-A (CALABARZON),Laguna,Calamba City,236954.83333333334,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
Region IV-A (CALABARZON),Laguna,San Pablo City,95727.83333333333,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
Region IV-A (CALABARZON),Laguna,San Pedro City,44473.75,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
Region IV-A (CALABARZON),Laguna,Santa Rosa City,243455.5,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
Region IV-A (CALABARZON),Quezon,Lucena City,123763.16666666667,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
Region IV-A (CALABARZON),Quezon,Tayabas City,66886.75,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
Region IV-A (CALABARZON),Rizal,Antipolo City,300976.0,8,A,ETS-only monthly projection; EMP_w_2024 = mean of 12 months
