Region,Area_display,Area_slug,Fault_Distance_km,Fault_Proximity_Index,Nearest_Fault_Name
NCR,Caloocan,caloocan,9.4,0.10638297872340426,9.4
NCR,Makati,makati,2.3,0.4347826086956522,2.3
NCR,Malabon,malabon,11.0,0.09090909090909091,11.0
NCR,Mandaluyong,mandaluyong,1.9,0.5263157894736842,1.9
NCR,Manila,manila,5.4,0.18518518518518517,5.4
NCR,Marikina,marikina,0.0,1.0,0.0
NCR,Muntinlupa,muntinlupa,0.0,1.0,0.0
NCR,Navotas,navotas,12.2,0.0819672131147541,12.2
NCR,Parañaque,paranaque,1.2,0.8333333333333334,1.2
NCR,Pasay,pasay,3.7,0.27027027027027023,3.7
NCR,Pasig,pasig,0.0,1.0,0.0
NCR,Pateros,pateros,0.487,1.0,0.487
NCR,Quezon,quezon,0.0,1.0,0.0
NCR,San Juan,san juan,2.9,0.3448275862068966,2.9
NCR,Taguig,taguig,0.0,1.0,0.0
NCR,Valenzuela,valenzuela,9.2,0.10869565217391305,9.2
NCR,las Piñas,las pinas,3.7,0.27027027027027023,3.7
Region III (Central Luzon),Angeles,angeles,27.9,0.03584229390681004,27.9
Region III (Central Luzon),Baler,baler,19.1,0.05235602094240837,19.1
Region III (Central Luzon),Bocaue,bocaue,19.4,0.051546391752577324,19.4
Region III (Central Luzon),Bustos,bustos,22.3,0.04484304932735426,22.3
Region III (Central Luzon),Cabanatuan,cabanatuan,5.4,0.18518518518518517,5.4
Region III (Central Luzon),Casiguran,casiguran,0.0,1.0,0.0
Region III (Central Luzon),Gapan,gapan,15.7,0.06369426751592357,15.7
Region III (Central Luzon),Iba,iba,5.0,0.2,5.0
Region III (Central Luzon),Mabalacat,mabalacat,28.0,0.03571428571428571,28.0
Region III (Central Luzon),Malolos,malolos,30.6,0.032679738562091505,30.6
Region III (Central Luzon),Meycauayan,meycauayan,12.3,0.08130081300813008,12.3
Region III (Central Luzon),Olongapo,olongapo,34.8,0.02873563218390805,34.8
Region III (Central Luzon),San Fernando,san fernando,37.2,0.026881720430107524,37.2
Region III (Central Luzon),San Jose del Monte,san jose del monte,3.7,0.27027027027027023,3.7
Region III (Central Luzon),San Miguel,san miguel,19.8,0.050505050505050504,19.8
Region III (Central Luzon),San Rafael,san rafael,15.6,0.06410256410256411,15.6
Region III (Central Luzon),Science City of Muñoz,science city of munoz,6.0,0.16666666666666666,6.0
Region IV-A (CALABARZON),Antipolo,antipolo,4.0,0.25,4.0
Region IV-A (CALABARZON),Bacoor,bacoor,5.0,0.2,5.0
Region IV-A (CALABARZON),Batangas,batangas,10.5,0.09523809523809523,10.5
Region IV-A (CALABARZON),Biñan,binan,1.1,0.9090909090909091,1.1
Region IV-A (CALABARZON),Cabuyao,cabuyao,0.0,1.0,0.0
Region IV-A (CALABARZON),Calaca,calaca,26.9,0.03717472118959108,26.9
Region IV-A (CALABARZON),Calamba,calamba,0.0,1.0,0.0
Region IV-A (CALABARZON),Carmona,carmona,0.0,1.0,0.0
Region IV-A (CALABARZON),Cavite,cavite,14.5,0.06896551724137931,14.5
Region IV-A (CALABARZON),Dasmariñas,dasmarinas,4.0,0.25,4.0
Region IV-A (CALABARZON),General Trias,general trias,13.1,0.07633587786259542,13.1
Region IV-A (CALABARZON),Imus,imus,9.2,0.10869565217391305,9.2
Region IV-A (CALABARZON),Infanta,infanta,0.0,1.0,0.0
Region IV-A (CALABARZON),Lipa,lipa,21.6,0.046296296296296294,21.6
Region IV-A (CALABARZON),Lucena,lucena,9.7,0.10309278350515465,9.7
Region IV-A (CALABARZON),San Pablo,san pablo,26.6,0.03759398496240601,26.6
Region IV-A (CALABARZON),San Pedro,san pedro,0.0,1.0,0.0
Region IV-A (CALABARZON),Santa Rosa,santa rosa,1.7,0.5882352941176471,1.7
Region IV-A (CALABARZON),Santo Tomas,santo tomas,9.7,0.10309278350515465,9.7
Region IV-A (CALABARZON),Tagaytay,tagaytay,3.4,0.29411764705882354,3.4
Region IV-A (CALABARZON),Tanauan,tanauan,8.5,0.11764705882352941,8.5
Region IV-A (CALABARZON),Tanay,tanay,0.0,1.0,0.0
Region IV-A (CALABARZON),Tayabas,tayabas,2.2,0.45454545454545453,2.2
Region IV-A (CALABARZON),Trece Martires,trece martires,15.0,0.06666666666666667,15.0
