Region,Year,GRDP_Const2018,GRDP_Current,GRDP_Growth
NCR,2000,2416391870,1237450701,
NCR,2001,2483504980,1349240704,2.777410023
NCR,2002,2507171644,1435447457,0.952954159
NCR,2003,2624052475,1545711905,4.66185996
NCR,2004,2841837836,1743576537,8.299581014
NCR,2005,2988546218,1954778997,5.162447348
NCR,2006,3157102605,2176864045,5.640079648
NCR,2007,3372129301,2399583921,6.810887162
NCR,2008,3524902698,2655351616,4.530472688
NCR,2009,3522558104,2754035852,-0.066515141
NCR,2010,3745124533,3053160348,6.318318178
NCR,2011,3833040760,3237138656,2.347484743
NCR,2012,4072189800,3553088571,6.239146802
NCR,2013,4339858704,3890702252,6.573094997
NCR,2014,4576914911,4215201150,5.46230242
NCR,2015,4865073608,4532443704,6.295915537
NCR,2016,5216091453,4928222539,7.215057228
NCR,2017,5507681038,5327124065,5.59019311
NCR,2018,5814440130,5814440130,5.569659715
NCR,2019,6224134457,6294194685,7.046152645
NCR,2020,5599931197,5800819179,-10.02875604
NCR,2021,5845619151,6157504618,4.387338797
NCR,2022,6268351531,6892127003,7.231610016
NCR,2023,6574340155,7572347073,4.881484749
Region III (Central Luzon),2000,707245644,368786804,
Region III (Central Luzon),2001,749289527,406500228,5.944735518
Region III (Central Luzon),2002,791683392,452337803,5.657875023
Region III (Central Luzon),2003,826169061,494424474,4.355992477
Region III (Central Luzon),2004,852296755,548718978,3.162511795
Region III (Central Luzon),2005,885593565,610192972,3.906715566
Region III (Central Luzon),2006,927301530,668848239,4.709605698
Region III (Central Luzon),2007,981902705,721803908,5.888179113
Region III (Central Luzon),2008,1032623864,832147448,5.165599274
Region III (Central Luzon),2009,1039474095,854442889,0.663381047
Region III (Central Luzon),2010,1143777786,979287700,10.03427517
Region III (Central Luzon),2011,1233431610,1096258667,7.838395281
Region III (Central Luzon),2012,1336963348,1206580595,8.393796394
Region III (Central Luzon),2013,1417025690,1306617621,5.988372241
Region III (Central Luzon),2014,1526621058,1461916690,7.734183563
Region III (Central Luzon),2015,1619134911,1511232438,6.060040409
Region III (Central Luzon),2016,1747565400,1640708336,7.932043718
Region III (Central Luzon),2017,1929193858,1860323671,10.39322809
Region III (Central Luzon),2018,2062393875,2062393875,6.904439201
Region III (Central Luzon),2019,2183779631,2184815143,5.885672832
Region III (Central Luzon),2020,1881277315,1864111182,-13.85223636
Region III (Central Luzon),2021,2021186175,2062335867,7.436907833
Region III (Central Luzon),2022,2184784695,2367250960,8.094183605
Region III (Central Luzon),2023,2318428274,2650681588,6.117013695
Region IV-A (Calabarzon),2000,1050505077,601691426,
Region IV-A (Calabarzon),2001,1068135114,671228264,1.678243864
Region IV-A (Calabarzon),2002,1120500727,713061159,4.90252706
Region IV-A (Calabarzon),2003,1179350176,788436127,5.252067007
Region IV-A (Calabarzon),2004,1244396888,881529587,5.515470581
Region IV-A (Calabarzon),2005,1310160075,987614867,5.284743769
Region IV-A (Calabarzon),2006,1369674210,1093698856,4.54250867
Region IV-A (Calabarzon),2007,1446188225,1194749373,5.586293035
Region IV-A (Calabarzon),2008,1497994676,1286125893,3.582275813
Region IV-A (Calabarzon),2009,1486472826,1283795207,-0.769151599
Region IV-A (Calabarzon),2010,1638482343,1486403920,10.22618876
Region IV-A (Calabarzon),2011,1676719329,1582459854,2.333683128
Region IV-A (Calabarzon),2012,1809708699,1721867470,7.93152245
Region IV-A (Calabarzon),2013,1942476533,1847878662,7.336420169
Region IV-A (Calabarzon),2014,2054936917,2006907506,5.7895363
Region IV-A (Calabarzon),2015,2196313576,2076801161,6.879853967
Region IV-A (Calabarzon),2016,2346818115,2206254090,6.852597946
Region IV-A (Calabarzon),2017,2527658901,2423069480,7.705786181
Region IV-A (Calabarzon),2018,2706994745,2706994745,7.09493848
Region IV-A (Calabarzon),2019,2831599919,2865792547,4.603081488
Region IV-A (Calabarzon),2020,2534444265,2565120461,-10.49426693
Region IV-A (Calabarzon),2021,2728935837,2785990792,7.673933678
Region IV-A (Calabarzon),2022,2942514950,3140377483,7.826461513
Region IV-A (Calabarzon),2023,3095255701,3436079161,5.190823279
